@relation 'Maven: -C 37'

@attribute X0 {0,1}
@attribute X1 {0,1}
@attribute X2 {0,1}
@attribute X3 {0,1}
@attribute X4 {0,1}
@attribute X5 {0,1}
@attribute X6 {0,1}
@attribute X7 {0,1}
@attribute X8 {0,1}
@attribute X9 {0,1}
@attribute X10 {0,1}
@attribute X11 {0,1}
@attribute X12 {0,1}
@attribute X13 {0,1}
@attribute X14 {0,1}
@attribute X15 {0,1}
@attribute X16 {0,1}
@attribute X17 {0,1}
@attribute X18 {0,1}
@attribute X19 {0,1}
@attribute X20 {0,1}
@attribute X21 {0,1}
@attribute X22 {0,1}
@attribute X23 {0,1}
@attribute X24 {0,1}
@attribute X25 {0,1}
@attribute X26 {0,1}
@attribute X27 {0,1}
@attribute X28 {0,1}
@attribute X29 {0,1}
@attribute X30 {0,1}
@attribute X31 {0,1}
@attribute X32 {0,1}
@attribute X33 {0,1}
@attribute X34 {0,1}
@attribute X35 {0,1}
@attribute X36 {0,1}
@attribute X37 numeric
@attribute X38 numeric
@attribute X39 numeric
@attribute X40 numeric
@attribute X41 numeric
@attribute X42 numeric
@attribute X43 numeric
@attribute X44 numeric
@attribute X45 numeric
@attribute X46 numeric
@attribute X47 numeric
@attribute X48 numeric
@attribute X49 numeric
@attribute X50 numeric
@attribute X51 numeric
@attribute X52 numeric
@attribute X53 numeric
@attribute X54 numeric
@attribute X55 numeric
@attribute X56 numeric
@attribute X57 numeric
@attribute X58 numeric
@attribute X59 numeric
@attribute X60 numeric
@attribute X61 numeric
@attribute X62 numeric
@attribute X63 numeric
@attribute X64 numeric
@attribute X65 numeric
@attribute X66 numeric
@attribute X67 numeric
@attribute X68 numeric
@attribute X69 numeric
@attribute X70 numeric
@attribute X71 numeric
@attribute X72 numeric
@attribute X73 numeric
@attribute X74 numeric
@attribute X75 numeric
@attribute X76 numeric
@attribute X77 numeric
@attribute X78 numeric
@attribute X79 numeric
@attribute X80 numeric
@attribute X81 numeric
@attribute X82 numeric
@attribute X83 numeric
@attribute X84 numeric
@attribute X85 numeric
@attribute X86 numeric
@attribute X87 numeric
@attribute X88 numeric
@attribute X89 numeric
@attribute X90 numeric
@attribute X91 numeric
@attribute X92 numeric
@attribute X93 numeric
@attribute X94 numeric
@attribute X95 numeric
@attribute X96 numeric
@attribute X97 numeric
@attribute X98 numeric
@attribute X99 numeric
@attribute X100 numeric
@attribute X101 numeric
@attribute X102 numeric
@attribute X103 numeric
@attribute X104 numeric
@attribute X105 numeric
@attribute X106 numeric
@attribute X107 numeric
@attribute X108 numeric
@attribute X109 numeric
@attribute X110 numeric
@attribute X111 numeric
@attribute X112 numeric
@attribute X113 numeric
@attribute X114 numeric
@attribute X115 numeric
@attribute X116 numeric
@attribute X117 numeric
@attribute X118 numeric
@attribute X119 numeric
@attribute X120 numeric
@attribute X121 numeric
@attribute X122 numeric
@attribute X123 numeric
@attribute X124 numeric
@attribute X125 numeric
@attribute X126 numeric
@attribute X127 numeric
@attribute X128 numeric
@attribute X129 numeric
@attribute X130 numeric
@attribute X131 numeric
@attribute X132 numeric
@attribute X133 numeric
@attribute X134 numeric
@attribute X135 numeric
@attribute X136 numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.475976,-0.375563,-0.262255,-0.002652,0.578322,0.201124,0.593039,-0.036282,-0.682975,-0.960888,-0.200206,0.055649,-0.575728,-0.0171,0.942695,-0.966783,-1.031844,-0.704415,0.380247,0.377919,-0.149318,0.172273,-0.308137,-0.177304,0.188269,0.641682,-0.09369,0.096421,-0.541831,0.746892,0.050419,-0.460348,0.149172,-0.195601,-0.055386,-0.529268,0.555938,1.060131,-0.444051,0.13004,-0.222251,0.126902,0.548928,-0.208031,1.576933,-0.233267,0.190991,0.546467,-0.804699,0.2957,0.649697,-0.456882,0.107722,0.146316,-0.068874,-0.13563,0.041145,-0.615486,1.169193,0.800753,0.362042,0.630452,0.104855,-0.156843,0.463892,0.370063,0.712826,0.600787,0.156124,-0.917845,-1.173667,-0.24233,1.068586,-0.597271,0.580524,-0.069109,-0.278853,-0.564259,0.474162,-0.050178,0.849145,0.882356,-0.057086,0.054719,-0.240417,-0.3031,0.426671,-1.169825,-0.429712,-0.229495,-0.604443,-0.142502,-0.029234,-1.185648,0.467778,0.216869,-0.015186,0.715509,0.089811,-0.192672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8704,-0.032475,-0.016449,-0.459482,0.067467,-0.02476,0.247362,-0.283826,-0.559816,-0.295442,0.091972,0.292182,-0.483018,-0.175977,0.343614,-0.501657,-0.457354,-0.580134,0.56493,-0.032286,0.18108,0.04393,-0.934155,-0.117585,0.419347,0.113804,-0.335569,-0.256909,-0.170045,-0.235461,-0.016209,-0.15674,-0.27608,0.310673,-0.112788,0.068031,0.189892,0.942942,-0.36123,-0.179332,0.107985,-0.197043,-0.162683,-0.165935,0.773559,0.210226,0.128437,0.40184,-1.039769,-0.28037,0.588314,-0.124921,-0.172815,-0.13986,-0.030808,-0.3435,0.427919,0.184457,0.371704,0.402167,0.073257,0.835593,-0.280135,0.730608,0.280467,-0.126781,0.048968,-0.374709,-0.000646,-1.194805,-0.663784,0.021492,1.332883,-0.507188,0.616277,-0.027593,-0.317871,-0.750647,0.059144,0.26896,0.770009,0.5378,0.0217,0.382303,0.078009,0.029721,0.269086,-0.646305,-0.118604,-0.54638,-0.12856,0.346588,0.072924,-0.958171,0.270172,-0.291048,0.023171,0.173351,0.306216,0.175755
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134622,0.394704,-0.719691,-0.479592,-0.21786,0.375614,0.350199,-0.967256,-1.658418,-0.679592,-0.965483,1.670631,-1.599085,-0.30252,0.942569,-1.118876,-0.512236,-0.875565,0.429073,0.108674,0.538193,-0.426498,-1.180806,0.122713,0.380448,0.218889,0.021774,-0.418792,0.231179,-0.155958,0.123395,0.117096,-0.028782,0.732854,-0.47867,0.127133,-0.613771,0.484614,-0.24673,-0.952334,-0.29803,-0.220805,-0.453677,-0.280353,1.315727,0.513621,0.23195,0.576922,-1.634317,-0.520356,1.065139,-0.339127,-0.839058,-0.136691,-0.622209,-0.762098,0.447636,0.673247,1.237733,-0.040496,-0.92752,1.115181,0.18732,1.369751,0.355058,0.154334,0.170621,-0.024276,-0.605666,-0.957646,-1.11943,-0.012928,1.896426,-0.063468,0.66842,-0.170393,-0.877145,-0.561601,-0.157475,0.308115,1.465348,0.531896,-0.200227,0.269877,-0.510618,-0.049257,0.318888,-0.156539,-0.141983,-0.794411,0.601258,0.595463,0.327249,-1.341598,0.548601,-0.543642,-0.489347,0.07395,-0.250365,0.439298
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092231,-0.105673,-0.07442,-0.145856,0.24477,0.123184,-0.151677,-0.263613,-0.192513,-0.419259,0.134286,0.146742,-0.063463,-0.185615,-0.307988,-0.501723,0.360984,-0.835525,0.804118,0.297907,-0.386119,0.120602,-0.658213,0.39026,-0.081707,0.442496,0.349368,-0.157019,-0.199907,-0.116162,-0.327173,0.312242,-0.088207,0.248733,-0.457991,-0.144434,0.41776,-0.08045,-0.121649,0.328877,-0.243652,-0.663249,0.641927,-0.162867,0.756649,-0.169481,0.170117,0.252925,-0.608887,-0.319235,0.738017,-0.441356,0.206743,0.028243,0.495059,-0.575643,0.849748,-0.375701,0.44712,1.07451,0.139376,0.433584,0.097744,0.531674,0.402751,0.814828,0.074435,0.197909,0.261471,-1.229519,-0.683395,0.781783,0.963295,-0.781151,-0.081168,-0.545477,-0.289603,-0.063029,0.013816,0.216757,0.693555,0.288032,0.173203,-0.066509,0.486654,-0.342891,-0.742564,-0.418879,-0.423192,-0.794203,-0.813399,0.469172,0.233661,-0.691127,0.416275,0.306049,0.427992,0.92898,-0.083009,0.166177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97535,-0.119961,0.339312,-0.366152,-0.22209,-0.486844,0.098404,-0.101773,0.166419,-0.739514,0.899659,0.059746,-0.323462,-0.203695,-0.179967,-0.888492,-0.316318,-0.64345,0.866038,0.229611,0.288582,0.804403,-1.167539,-0.49057,0.585035,0.338067,-0.754511,-0.288553,-0.06529,-0.574909,0.399489,0.076639,-0.470443,0.072009,0.080569,0.084249,0.272165,1.19202,-0.550041,-0.266224,0.269708,-0.153532,0.318125,0.030676,1.274691,0.290612,-0.009958,0.015444,-1.070557,-0.219763,0.634195,-0.034575,-0.322935,-0.163313,-0.115882,-0.375035,0.76816,0.311112,0.386835,0.222905,-0.114743,1.48395,-0.360492,0.845751,0.360402,0.002272,0.12173,-0.572845,0.147742,-1.728646,-0.678997,-0.23416,1.750558,-0.248761,0.544347,-0.448911,-0.239519,-1.209898,0.013186,0.357649,0.971808,0.745342,-0.192731,0.882392,0.122528,0.461321,0.220253,-1.04808,-0.723181,-0.890299,0.007351,0.871152,0.091261,-1.194159,0.458593,-0.448584,-0.293939,0.265795,0.769834,0.235786
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034633,-0.003782,-0.313034,-0.10177,0.213368,-0.058628,0.281313,-0.299594,-0.043346,-0.486841,0.000067,-0.14692,-0.252651,-0.118994,-0.096281,-0.414481,0.116788,-0.344116,0.879279,0.042705,0.136424,0.303491,-0.680416,0.114314,0.405201,0.345601,-0.039149,-0.270637,-0.09528,-0.210276,0.021592,0.138529,-0.098263,0.257718,-0.212932,-0.008984,0.130422,0.209522,-0.191278,-0.181854,0.072955,-0.550624,0.350596,-0.286475,0.919571,-0.06505,0.382178,0.318891,-0.590132,-0.304925,0.445764,-0.44472,0.285161,-0.033557,-0.035932,-0.176442,0.726116,0.056823,0.195223,0.65802,0.063791,0.077558,-0.217489,0.550704,0.180562,0.358775,0.148794,0.091075,0.042614,-0.984993,-0.415682,0.734814,0.948915,-0.368921,0.236478,-0.463554,0.107191,-0.456353,-0.229651,0.512144,0.674871,0.064574,0.301256,0.193569,0.212797,0.037991,-0.258455,-0.529892,-0.353216,-0.352394,-0.157562,0.286451,0.001058,-0.498483,0.323912,0.028657,0.314994,0.36645,-0.020752,-0.103408
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753124,0.030893,-0.327748,-0.389461,0.264475,-0.053788,0.120671,-0.375562,-0.548552,-0.479226,-0.210238,0.547192,-0.506928,-0.062615,0.085088,-0.663909,-0.304984,-0.674182,0.804501,0.307059,0.229248,0.021666,-0.979757,-0.02863,0.353854,0.136172,-0.474318,-0.320885,-0.316633,-0.337231,-0.157743,-0.207824,-0.268055,0.482341,-0.116144,-0.04229,0.396637,0.675197,-0.408525,-0.37441,-0.029073,-0.244531,0.095536,-0.272708,1.096672,0.074289,0.376834,0.48715,-1.065143,0.055119,0.553299,-0.126337,-0.22304,-0.061089,-0.020733,-0.184112,0.578662,0.073569,0.471129,0.464395,-0.12667,0.690784,-0.145097,0.712722,0.518986,0.087418,0.4268,-0.494618,0.023169,-1.195078,-0.694521,0.377725,1.116913,-0.315028,0.633586,-0.378386,-0.36294,-0.41947,0.062809,0.176977,0.879602,0.831448,-0.086262,0.150501,0.228452,-0.009959,0.256025,-0.502662,-0.350008,-0.594666,-0.336027,-0.085102,-0.002705,-1.082445,0.166195,-0.136141,-0.103866,0.303462,0.106335,-0.078454
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.099869,0.155717,-0.475888,-0.049408,0.284591,-0.156478,0.276432,-0.34837,-0.248136,-0.894209,-0.001003,0.091862,-0.286142,0.028552,-0.115244,-0.521394,0.006746,-0.745291,0.991802,0.035765,-0.039573,0.25609,-0.490045,0.42199,0.532632,0.372974,0.066669,-0.094168,-0.063799,-0.259896,-0.066913,0.211675,-0.080239,0.084949,-0.188542,-0.165525,0.228705,-0.071794,-0.252505,-0.309285,-0.264088,-0.677316,0.882035,-0.174319,1.218106,-0.079913,0.689717,0.517511,-0.850691,-0.201155,0.609807,-0.608473,0.091012,0.022099,-0.021993,-0.133586,0.838788,-0.015476,0.332822,0.750925,0.049956,0.077468,-0.018445,0.589102,0.077668,0.562989,0.261992,-0.023526,0.135125,-1.095964,-0.720339,0.903331,1.055041,-0.245614,-0.001596,-0.73122,0.140025,-0.116827,-0.090363,0.383681,0.817815,0.312054,0.219448,0.040937,0.475925,-0.029207,-0.419031,-0.474931,-0.432112,-0.59446,-0.307829,0.086449,-0.127122,-0.529757,0.204995,0.210394,0.095351,0.616001,-0.236355,-0.153694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065703,0.151505,-0.195927,-0.067331,0.045973,0.05677,0.166548,-0.366078,0.019247,-0.563035,0.152995,0.013818,-0.083228,-0.106533,-0.242303,-0.271356,0.332211,-0.544274,0.855137,-0.078649,0.189613,0.194536,-0.6797,0.337726,0.214699,0.47044,0.102827,-0.226778,-0.00129,-0.428683,0.031046,0.331437,-0.103693,0.090969,-0.247211,-0.162226,0.04859,-0.053428,-0.153759,0.023401,-0.079984,-0.715141,0.522301,-0.127163,0.768207,0.045584,0.341001,0.147334,-0.642392,-0.441416,0.527884,-0.514969,0.183631,-0.161335,-0.046205,-0.302712,0.828047,0.007727,0.106476,0.604218,0.107201,0.25838,-0.008797,0.638021,0.126434,0.495035,-0.060654,0.00096,0.175506,-1.041518,-0.471088,0.843821,1.040187,-0.394209,0.079889,-0.540195,0.027708,-0.370825,-0.201501,0.677318,0.673463,0.03189,0.251909,0.181085,0.376377,-0.017294,-0.404357,-0.388984,-0.381964,-0.622947,-0.205003,0.542114,0.19141,-0.340811,0.44352,0.0888,0.40156,0.476918,-0.080208,0.080462
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143347,0.037075,0.039692,-0.201672,0.045908,0.263847,0.276926,-0.347731,-0.389293,-0.187014,0.164973,0.239033,-0.157446,-0.124225,-0.026028,-0.499076,0.147117,-0.331343,0.538667,0.334172,-0.034979,-0.144759,-0.753002,0.109728,0.063183,0.108635,-0.035914,0.033275,-0.059275,-0.084439,0.024923,-0.17471,-0.443647,0.269619,-0.290853,-0.175645,0.234779,0.324186,-0.049569,-0.061572,-0.293608,-0.669951,0.136252,-0.109304,0.432573,-0.09321,0.270167,0.175955,-0.451221,-0.289814,0.437951,-0.044618,0.234175,-0.41475,-0.030616,-0.296371,0.576466,-0.059106,0.124762,0.79977,0.235707,0.242502,-0.271482,0.75572,0.349613,-0.033445,0.278029,-0.242752,0.164569,-1.159501,-0.372462,0.524761,0.717937,-0.341161,0.316574,-0.22518,-0.048211,0.056786,0.085769,0.18882,0.053926,-0.078878,0.111592,0.011467,0.434195,-0.323843,-0.059813,-0.255262,-0.508539,-0.365072,-0.082262,0.045353,0.285338,-0.410885,0.140417,-0.04573,0.328559,0.58741,0.020401,-0.079373
